Date,Description,Amount,Mode,Category,Type,Month
2024-05-03,Myntra,3491,UPI,Shopping,Expense,2024-05
2024-02-22,Medicine,3602,Bank,Others,Expense,2024-02
2024-05-07,Uber,2736,Cash,Transport,Expense,2024-05
2024-02-28,Stationery,2422,Card,Others,Expense,2024-02
2024-04-03,Myntra,400,Bank,Shopping,Expense,2024-04
2024-01-17,Spotify,700,Card,Subscription,Expense,2024-01
2024-06-29,Ola,103,UPI,Transport,Expense,2024-06
2024-05-21,Netflix,148,Bank,Subscription,Expense,2024-05
2024-03-29,Spotify,1655,UPI,Subscription,Expense,2024-03
2024-04-26,Freelance Project,13444,Cash,Income,Income,2024-04
2024-06-12,Spotify,2316,Cash,Subscription,Expense,2024-06
2024-04-30,Amazon,2549,Card,Shopping,Expense,2024-04
2024-02-02,Metro,1266,Card,Transport,Expense,2024-02
2024-05-16,Ola,1319,Cash,Transport,Expense,2024-05
2024-06-22,Dominos,935,Bank,Food,Expense,2024-06
2024-06-04,Cashback,15610,Cash,Income,Income,2024-06
2024-06-10,Water Bill,2607,Cash,Utilities,Expense,2024-06
2024-03-04,Medicine,2004,Bank,Others,Expense,2024-03
2024-03-03,Donation,2231,Card,Others,Expense,2024-03
2024-06-28,YouTube Premium,2699,Card,Subscription,Expense,2024-06
2024-06-06,Salary,21249,Cash,Income,Income,2024-06
2024-01-02,Amazon,3152,UPI,Shopping,Expense,2024-01
2024-01-06,YouTube Premium,3618,Card,Subscription,Expense,2024-01
2024-05-30,Local Market,2531,Card,Shopping,Expense,2024-05
2024-03-06,Myntra,4945,Card,Shopping,Expense,2024-03
2024-06-04,Auto Fare,558,Card,Transport,Expense,2024-06
2024-04-27,Medicine,2625,UPI,Others,Expense,2024-04
2024-04-17,Local Market,211,Bank,Shopping,Expense,2024-04
2024-02-23,Spotify,1980,Card,Subscription,Expense,2024-02
2024-03-22,Swiggy,4765,Cash,Food,Expense,2024-03
2024-03-10,Grocery Store,4070,Cash,Food,Expense,2024-03
2024-02-05,Freelance Project,11601,Card,Income,Income,2024-02
2024-02-27,Stationery,2242,Bank,Others,Expense,2024-02
2024-05-13,Netflix,3590,Card,Subscription,Expense,2024-05
2024-04-28,Flipkart,687,Cash,Shopping,Expense,2024-04
2024-05-18,Netflix,3046,Cash,Subscription,Expense,2024-05
2024-02-15,Zomato,1832,UPI,Food,Expense,2024-02
